Municipality,Population,Votedyes,Votedno,Voted,DidNotVote,Affected1984,Affected1985,Affected1986,Affected1987,Affected1988,Affected1989,Affected1990,Affected1991,Affected1992,Affected1993,Affected1994,Affected1995,Affected1996,Affected1997,Affected1998,Affected1999,Affected2000,Affected2001,Affected2002,Affected2003,Affected2004,Affected2005,Affected2006,Affected2007,Affected2008,Affected2009,Affected2010,Affected2011,Affected2012,Affected2013,Affected2014,Affected2015,Affected2016,Affected2017,Weightedaffected84to2002,Weightedaffected2003to2016,Weightedaffected,Affected9999,Total_affected,affected84to2002,affected2003to2016,Divipola,Departamento,Municipio,Rurality2010,PovertyIndex2013,IDHMpnud2010,ArmedGroups,Rezagoescolar,COBERTURA_NETA_MEDIA,ProportionAffected,ProporTotAff,Weightedaffected10group,ConflictIndex,ndicedeindicenciadelconflictocategora,ConflictCategory
25322,15003,35.41,64.58,43.66,56.34,2, , , , , , , ,1, ,2, ,3, ,9,14,12,4,17,14,13,13,13,3,8, , , ,6,4,6,2, , ,127942,164560,292502, ,146,64,82,25322,Cundinamarca,Guasca,0.4573,0.8168,0.66850218,0,31.2,54.96,19.49623409,0.009731387,2,0.007896578,Medio bajo,2
25324,2649,56.69,43.3,33.19,66.81,3, , , , , , , , , , ,4, , , , , , ,24,16,8,29,10,14, ,5, ,5, ,1,23, , , ,61980,222818,284798, ,142,31,111,25324,Cundinamarca,Guataquí,0.4772,0.7598,0.645243273,0,25.9,40,107.5115138,0.053605134,2,0.006860234,Medio bajo,2
25326,6924,38.8,61.19,43.19,56.81, , , , , , , , , , , , , , , , , , , ,20,4, , ,14, , , , , , , ,8, , ,0,92294,92294, ,46,0,46,25326,Cundinamarca,Guatavita,0.4791,0.8454,0.669731995,0,37.7,42.35,13.32957828,0.006643559,1,0.001620231,Bajo,1
25328,3644,49.34,50.65,43.17,56.83,31, ,1, , , ,3,27,16,14,9,1,14,46,17,45,73,84,221,282,68,89,38,30,54,22,9,1,3,3, , ,14,5,1203185,1229031,2432216, ,1220,602,613,25328,Cundinamarca,Guayabal de Siquima,0.4205,0.7658,0.656253365,0,22.4,54.61,667.4577387,0.334796926,4,0.02232383,Medio,3
25335,4959,25.86,74.13,45.39,54.61,1, ,1, , ,4,28,14,64,23,41,248,23,74,143,53,535,94,138,75,36,16,22,47,20,7,14,22,7,19,9,2,7,8,2965078,608114,3573192, ,1795,1484,303,25335,Cundinamarca,Guayabetal,0.4843,0.7945,0.644165426,0,25.9,60.37,720.5468845,0.361968139,5,0.028583195,Medio,3
25339,4174,36.61,63.38,49.9,50.1,1, , ,2,13, , ,14,13,5,1,2,17,19,9,45,71,197,122,23,32,13,17,14,46,54,11,70,21,14,19,21,24, ,1061774,761595,1823369, ,910,531,379,25339,Cundinamarca,Gutiérrez,0.5593,0.7195,0.640421489,0,38.6,27.85,436.8397221,0.218016291,4,0.010763624,Medio bajo,2
25368,2683,54.79,45.2,32.88,67.12,1,1, ,3, ,14,7,3,26,3, ,7,30,14,9,10,65,36,54,55,57,43,31,27,7,9,6,9,11,3,7,22,2, ,565369,579910,1145279,1,573,283,289,25368,Cundinamarca,Jerusalén,0.5408,0.7842,0.638715798,0,29.5,39.29,426.8650764,0.213566903,3,0.010277921,Medio bajo,2
25372,8644,40.41,59.58,32.02,67.98,2, , , , , , ,7, ,9,9,20,37, ,11,17,10,55,90,67,68,23,15,34,10,2, , ,28, , ,7,4,1,533736,517519,1051255, ,526,267,258,25372,Cundinamarca,Junín,0.484,0.7227,0.634688839,0,22.2,36.15,121.6167284,0.060851458,3,0.005951206,Bajo,1
25377,27878,53.37,46.62,45.74,54.26,10, , , , , , ,4, , ,4, ,7,1,17,1,22,27,20,9,3,4, ,15,42,6,8, ,3,9,6, , , ,225781,210871,436652, ,218,113,105,25377,Cundinamarca,La Calera,0.3975,0.8509,0.689271817,0,31.3,65.66,15.66296004,0.007819786,2,0.009697377,Medio bajo,2
25386,31823,50.37,49.62,37.52,62.48,8,1, ,6,5,3,1, ,9,10,7,17,23,2,24,29,31,64,63,50,201,140,102,74,82,48,18,7,29,20,29,21,4,21,605422,1655522,2260944, ,1149,303,825,25386,Cundinamarca,La Mesa,0.3275,0.7874,0.666516172,0,28.6,47.78,71.04748138,0.036105961,4,0.007641271,Medio bajo,2
